reflection_choice,memory_component_choice,memory_source,forget_effect,sim_strategy,example_demo,gpt_type,student_id,question_id,user_answer,agent_answer,correct_answer,choice_similarity,accuracy_similarity
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,228,1,3,0,3,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,228,2,1,1,1,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,228,3,2,2,2,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,228,4,0,0,0,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,228,5,1,1,1,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,228,6,1,2,1,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,228,7,0,0,0,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,228,8,2,0,0,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,228,9,1,1,1,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,228,10,1,0,0,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,228,11,1,1,1,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,228,12,2,2,2,1,1
