reflection_choice,memory_component_choice,memory_source,forget_effect,sim_strategy,example_demo,gpt_type,student_id,question_id,user_answer,agent_answer,correct_answer,choice_similarity,accuracy_similarity
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,701,1,0,3,3,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,701,2,0,0,0,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,701,3,1,1,1,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,701,4,2,0,0,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,701,5,0,3,3,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,701,6,3,1,1,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,701,7,3,3,3,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,701,8,2,1,2,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,701,9,0,2,0,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,701,10,2,3,3,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,701,11,3,3,0,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,5,701,12,0,3,3,0,0
