reflection_choice,memory_component_choice,memory_source,forget_effect,sim_strategy,example_demo,gpt_type,student_id,question_id,user_answer,agent_answer,correct_answer,choice_similarity,accuracy_similarity
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,623,1,2,1,1,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,623,2,2,None,0,None,None
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,623,3,2,None,2,None,None
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,623,4,0,None,1,None,None
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,623,5,0,None,0,None,None
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,623,6,0,None,0,None,None
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,623,7,2,None,1,None,None
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,623,8,3,None,3,None,None
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,623,9,0,1,1,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,623,10,0,0,0,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,623,11,2,3,3,0,0
