reflection_choice,memory_component_choice,memory_source,forget_effect,sim_strategy,example_demo,gpt_type,student_id,question_id,user_answer,agent_answer,correct_answer,choice_similarity,accuracy_similarity
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,722,1,0,3,3,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,722,2,0,3,0,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,722,3,1,1,1,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,722,4,0,0,0,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,722,5,3,3,3,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,722,6,1,1,1,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,722,7,3,None,3,None,None
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,722,8,2,1,2,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,722,9,0,0,0,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,722,10,3,3,3,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,722,11,3,2,0,0,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,722,12,2,3,3,0,0
