reflection_choice,memory_component_choice,memory_source,forget_effect,sim_strategy,example_demo,gpt_type,student_id,question_id,user_answer,agent_answer,correct_answer,choice_similarity,accuracy_similarity
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,485,1,0,3,3,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,485,2,0,3,0,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,485,3,1,1,1,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,485,4,1,0,0,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,485,5,3,3,3,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,485,6,0,1,1,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,485,7,3,None,3,None,None
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,485,8,1,2,2,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,485,9,3,1,0,0,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,485,10,1,3,3,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,485,11,2,2,0,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,485,12,2,0,3,0,1
