reflection_choice,memory_component_choice,memory_source,forget_effect,sim_strategy,example_demo,gpt_type,student_id,question_id,user_answer,agent_answer,correct_answer,choice_similarity,accuracy_similarity
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,337,1,2,1,1,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,337,2,1,2,2,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,337,3,0,1,1,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,337,4,1,1,1,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,337,5,1,0,1,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,337,6,3,3,0,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,337,7,3,2,2,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,337,8,2,3,3,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,337,9,0,0,0,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,337,10,1,3,3,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,337,11,0,1,3,0,1
