reflection_choice,memory_component_choice,memory_source,forget_effect,sim_strategy,example_demo,gpt_type,student_id,question_id,user_answer,agent_answer,correct_answer,choice_similarity,accuracy_similarity
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,467,1,0,3,3,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,467,2,1,3,0,0,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,467,3,1,1,1,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,467,4,0,0,0,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,467,5,3,3,3,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,467,6,1,1,1,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,467,7,3,2,3,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,467,8,2,1,2,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,467,9,2,0,0,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,467,10,3,3,3,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,467,11,1,2,0,0,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,2,467,12,1,3,3,0,0
