student_id;video_id;group_name;question_id;accuracy;fall_num_avg;confusion_dur;inattention_dur;valid_percent;follow_percent;choice
148;1;المجموعة الضابطة;اختبار_س1;1;17;0;0;0.913043478;0.043478261;د
148;1;المجموعة الضابطة;اختبار_س2;0;17;0;0;0.913043478;0.043478261;أ
148;1;المجموعة الضابطة;اختبار_س3;1;4.333333333;0;0;0.384335159;0.218996744;ج
148;1;المجموعة الضابطة;اختبار_س4;1;4.333333333;0;0;0.384335159;0.218996744;أ
148;1;المجموعة الضابطة;اختبار_س5;1;4.333333333;0;0;0.384335159;0.218996744;ب
148;1;المجموعة الضابطة;اختبار_س6;1;4.333333333;0;0;0.384335159;0.218996744;ب
148;1;المجموعة الضابطة;اختبار_س7;1;4.333333333;0;0;0.384335159;0.218996744;أ
148;1;المجموعة الضابطة;اختبار_س8;1;4.333333333;0;0;0.384335159;0.218996744;أ
148;1;المجموعة الضابطة;اختبار_س9;1;2.325;0;0;0.506705352;0.261298476;ب
148;1;المجموعة الضابطة;اختبار_س10;0;2.325;0;0;0.506705352;0.261298476;د
148;1;المجموعة الضابطة;اختبار_س11;0;2.325;0;0;0.506705352;0.261298476;ج
148;1;المجموعة الضابطة;اختبار_س12;0;1.5;0;0;0.145606165;0.018915344;ب
155;1;المجموعة الضابطة;اختبار_س1;0;5;0;0;1;0;ب
155;1;المجموعة الضابطة;اختبار_س2;1;5;0;0;1;0;ب
155;1;المجموعة الضابطة;اختبار_س3;1;55.33333333;0;0;0.471985149;0.127079907;ج
155;1;المجموعة الضابطة;اختبار_س4;1;55.33333333;0;0;0.471985149;0.127079907;أ
155;1;المجموعة الضابطة;اختبار_س5;0;55.33333333;0;0;0.471985149;0.127079907;أ
155;1;المجموعة الضابطة;اختبار_س6;1;55.33333333;0;0;0.471985149;0.127079907;ب
155;1;المجموعة الضابطة;اختبار_س7;1;55.33333333;0;0;0.471985149;0.127079907;أ
155;1;المجموعة الضابطة;اختبار_س8;1;55.33333333;0;0;0.471985149;0.127079907;أ
155;1;المجموعة الضابطة;اختبار_س9;1;4.325;0;0;0.215977678;0.088640574;ب
155;1;المجموعة الضابطة;اختبار_س10;1;4.325;0;0;0.215977678;0.088640574;أ
155;1;المجموعة الضابطة;اختبار_س11;0;4.325;0;0;0.215977678;0.088640574;أ
155;1;المجموعة الضابطة;اختبار_س12;1;0;0;0;0.003333333;0.003333333;ج
165;1;المجموعة الضابطة;اختبار_س1;1;4;0;0;0.452830189;0.122641509;د
165;1;المجموعة الضابطة;اختبار_س2;1;4;0;0;0.452830189;0.122641509;ب
165;1;المجموعة الضابطة;اختبار_س3;1;22;0;0;0.420417154;0.237711018;ج
165;1;المجموعة الضابطة;اختبار_س4;1;22;0;0;0.420417154;0.237711018;أ
165;1;المجموعة الضابطة;اختبار_س5;1;22;0;0;0.420417154;0.237711018;ب
165;1;المجموعة الضابطة;اختبار_س6;0;22;0;0;0.420417154;0.237711018;أ
165;1;المجموعة الضابطة;اختبار_س7;1;22;0;0;0.420417154;0.237711018;أ
165;1;المجموعة الضابطة;اختبار_س8;1;22;0;0;0.420417154;0.237711018;أ
165;1;المجموعة الضابطة;اختبار_س9;1;14.9;0;0;0.530193642;0.159058356;ب
165;1;المجموعة الضابطة;اختبار_س10;1;14.9;0;0;0.530193642;0.159058356;أ
165;1;المجموعة الضابطة;اختبار_س11;1;14.9;0;0;0.530193642;0.159058356;ب
165;1;المجموعة الضابطة;اختبار_س12;0;1.166666667;0;0;0.535409059;0.143553799;د
191;1;المجموعة الضابطة;اختبار_س1;0;11;0;0;0.782608696;0.043478261;ب
191;1;المجموعة الضابطة;اختبار_س2;1;11;0;0;0.782608696;0.043478261;ب
191;1;المجموعة الضابطة;اختبار_س3;1;7.5;0;0;0.448714332;0.158320085;ج
191;1;المجموعة الضابطة;اختبار_س4;1;7.5;0;0;0.448714332;0.158320085;أ
