reflection_choice,memory_component_choice,memory_source,forget_effect,sim_strategy,example_demo,gpt_type,student_id,question_id,user_answer,agent_answer,correct_answer,choice_similarity,accuracy_similarity
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,707,1,0,3,3,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,707,2,0,3,0,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,707,3,1,1,1,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,707,4,2,0,0,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,707,5,3,3,3,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,707,6,1,1,1,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,707,7,3,1,3,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,707,8,1,2,2,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,707,9,0,0,0,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,707,10,1,1,3,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,707,11,1,3,0,0,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,3,707,12,0,2,3,0,1
