reflection_choice,memory_component_choice,memory_source,forget_effect,sim_strategy,example_demo,gpt_type,student_id,question_id,user_answer,agent_answer,correct_answer,choice_similarity,accuracy_similarity
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,590,1,3,3,1,1,1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,590,2,0,1,0,0,0
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,590,3,0,2,2,0,0
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,590,4,0,3,1,0,1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,590,5,0,0,0,1,1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,590,6,2,0,0,0,0
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,590,7,1,2,1,0,0
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,590,8,3,3,3,1,1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,590,9,0,1,1,0,0
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,590,10,0,1,0,0,0
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,5,590,11,3,3,3,1,1
