reflection_choice,memory_component_choice,memory_source,forget_effect,sim_strategy,example_demo,gpt_type,student_id,transcript_id,sentence_id,user_gaze_aoi_id,user_gaze_aoi_center_tuple_x,user_gaze_aoi_center_tuple_y,user_motor_aoi_id,user_motor_aoi_center_tuple_x,user_motor_aoi_center_tuple_y,user_workload,user_curiosity,user_valid_focus,user_course_follow,user_engagement,user_confusion,agent_gaze_aoi_id,agent_gaze_aoi_center_tuple_x,agent_gaze_aoi_center_tuple_y,agent_motor_aoi_id,agent_motor_aoi_center_tuple_x,agent_motor_aoi_center_tuple_y,agent_workload,agent_curiosity,agent_valid_focus,agent_course_follow,agent_engagement,agent_confusion,gaze_aoi_accuracy,gaze_aoi_distance,motor_aoi_accuracy,motor_aoi_distance,workload_diff,curiosity_diff,valid_focus_diff,follow_ratio_diff,engagement_accuracy,confusion_accuracy
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,639,0.0,0,3.0,0.4225,0.46,None,None,None,0.09,0.24,1.0,1.0,1.0,0.0,1.0,0.2975,0.142,None,None,None,0.5,0.6,0.3,0.4,0.7,0.2,0,0.3416855279346786,None,None,0.41000000000000003,0.36,0.7,0.6,0.30000000000000004,0.2
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,639,0.0,1,1.0,0.2975,0.142,None,None,None,0.18,0.19,0.73,0.73,1.0,0.0,2.0,0.4775,0.295,None,None,None,0.1,0.8,0.7,0.8,0.9,0.1,0,0.23623928547132036,None,None,0.07999999999999999,0.6100000000000001,0.030000000000000027,0.07000000000000006,0.09999999999999998,0.1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,639,0.0,2,5.0,0.5,0.78,None,None,None,0.14,0.23,0.67,0.67,1.0,0.0,4.0,0.205,0.74,None,None,None,0.2,0.9,0.8,0.9,0.8,0.2,0,0.29769951293208397,None,None,0.06,0.67,0.13,0.22999999999999998,0.19999999999999996,0.2
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,639,0.0,3,5.0,0.5,0.78,None,None,None,0.29,0.16,0.78,0.78,1.0,0.0,3.0,0.4225,0.46,None,None,None,0.3,0.7,0.6,0.7,0.6,0.3,0,0.3292510440378284,None,None,0.010000000000000009,0.5399999999999999,0.18000000000000005,0.08000000000000007,0.4,0.3
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,639,0.0,4,2.0,0.4775,0.295,3.0,0.4225,0.46,0.61,0.57,1.0,1.0,1.0,0.0,2.0,0.4775,0.295,2.0,0.4775,0.295,0.4,0.6,0.5,0.6,0.5,0.4,1,0.0,0,0.1739252713092609,0.20999999999999996,0.030000000000000027,0.5,0.4,0.5,0.4
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,639,0.0,5,1.0,0.2975,0.142,None,None,None,0.45,0.29,1.0,0.4,1.0,0.0,5.0,0.5,0.78,None,None,None,0.5,0.8,0.7,0.8,0.7,0.5,0,0.6693655578232272,None,None,0.04999999999999999,0.51,0.30000000000000004,0.4,0.30000000000000004,0.5
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,639,0.0,6,2.0,0.4775,0.295,3.0,0.4225,0.46,0.44,0.32,1.0,0.36,1.0,0.0,6.0,0.78,0.77,6.0,0.78,0.77,0.6,0.9,0.8,0.9,0.8,0.6,0,0.563144075703545,0,0.4731873307686925,0.15999999999999998,0.5800000000000001,0.19999999999999996,0.54,0.19999999999999996,0.6
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,639,0.0,7,1.0,0.2975,0.142,3.0,0.4225,0.46,0.43,0.31,1.0,0.33,1.0,0.0,4.0,0.205,0.74,4.0,0.205,0.74,0.7,0.7,0.6,0.7,0.6,0.7,0,0.6051117665357367,0,0.3545507721046451,0.26999999999999996,0.38999999999999996,0.4,0.36999999999999994,0.4,0.7
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,639,0.0,8,4.0,0.205,0.74,None,None,None,0.42,0.41,1.0,0.33,1.0,0.0,3.0,0.4225,0.46,None,None,None,0.8,0.6,0.5,0.6,0.5,0.8,0,0.3545507721046451,None,None,0.38000000000000006,0.19,0.5,0.26999999999999996,0.5,0.8
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,639,0.0,9,3.0,0.4225,0.46,None,None,None,0.56,0.43,1.0,0.5,1.0,0.0,2.0,0.4775,0.295,None,None,None,0.9,0.5,0.4,0.5,0.4,0.9,0,0.1739252713092609,None,None,0.33999999999999997,0.07,0.6,0.0,0.6,0.9
