reflection_choice,memory_component_choice,memory_source,forget_effect,sim_strategy,example_demo,gpt_type,student_id,question_id,user_answer,agent_answer,correct_answer,choice_similarity,accuracy_similarity
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,436,1,3,None,3,None,None
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,436,2,0,None,0,None,None
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,436,3,2,None,1,None,None
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,436,4,0,None,0,None,None
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,436,5,3,None,3,None,None
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,436,6,1,None,1,None,None
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,436,7,3,None,3,None,None
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,436,8,3,0,2,0,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,436,9,0,1,0,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,436,10,0,3,3,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,436,11,0,3,0,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,436,12,3,3,3,1,1
