reflection_choice,memory_component_choice,memory_source,forget_effect,sim_strategy,example_demo,gpt_type,student_id,question_id,user_answer,agent_answer,correct_answer,choice_similarity,accuracy_similarity
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,322,1,1,1,1,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,322,2,2,None,0,None,None
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,322,3,2,None,2,None,None
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,322,4,1,None,1,None,None
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,322,5,3,None,0,None,None
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,322,6,1,None,0,None,None
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,322,7,1,None,1,None,None
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,322,8,3,None,3,None,None
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,322,9,3,1,1,0,0
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,322,10,0,0,0,1,1
no,KM+PM+MM+CM,real,only_recent_one,standard_cog,no,4,322,11,3,0,3,0,0
