reflection_choice,memory_component_choice,memory_source,forget_effect,sim_strategy,example_demo,gpt_type,student_id,question_id,user_answer,agent_answer,correct_answer,choice_similarity,accuracy_similarity
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,452,1,0,3,3,0,0
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,452,2,0,3,0,0,0
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,452,3,2,1,1,0,0
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,452,4,0,0,0,1,1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,452,5,2,3,3,0,0
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,452,6,1,1,1,1,1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,452,7,1,1,3,1,1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,452,8,0,2,2,0,0
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,452,9,2,0,0,0,0
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,452,10,3,1,3,0,0
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,452,11,1,3,0,0,1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,452,12,1,2,3,0,1
