reflection_choice,memory_component_choice,memory_source,forget_effect,sim_strategy,example_demo,gpt_type,student_id,question_id,user_answer,agent_answer,correct_answer,choice_similarity,accuracy_similarity
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,402,1,1,1,1,1,1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,402,2,1,2,2,0,0
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,402,3,3,1,1,0,0
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,402,4,1,1,1,1,1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,402,5,1,0,1,0,0
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,402,6,3,0,0,0,0
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,402,7,2,2,2,1,1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,402,8,0,3,3,0,0
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,402,9,0,0,0,1,1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,402,10,2,3,3,0,0
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,402,11,3,3,3,1,1
