reflection_choice,memory_component_choice,memory_source,forget_effect,sim_strategy,example_demo,gpt_type,student_id,question_id,user_answer,agent_answer,correct_answer,choice_similarity,accuracy_similarity
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,527,1,2,2,2,1,1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,527,2,0,1,1,0,0
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,527,3,0,0,0,1,1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,527,4,1,2,2,0,0
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,527,5,2,0,3,0,1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,527,6,0,0,0,1,1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,527,7,3,1,1,0,0
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,527,9,0,0,0,1,1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,527,8,0,0,0,1,1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,527,10,1,1,1,1,1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,527,11,1,1,2,1,1
no,KM+PM+MM+CM,sim,only_recent_one,standard_cog,no,3,527,12,2,2,2,1,1
